No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date,Target Price,IPO Date,After-Hours Close,After-Hours Change
6349,SQBG,"Sequential Brands Group, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,9.63,,,,0.1,0.31,0.6,1.69,,,-70.1,-93.40%,,12.64%,15.00%,19.40%,12.50%,-14.40%,1.64,1.14,0.40%,-99.84%,19.00%,-47.88%,10.35%,0.86,-17.60%,-164.90%,2.80%,1.5,1.5,17.83,18.49,,-93.50%,,-14.34%,-22.62%,-42.72%,-33.93%,-55.45%,-65.55%,0.72,0.45,10.04%,8.69%,-8.99%,-18.72%,-46.57%,-47.56%,14.01%,-80.97%,14.79%,43.87,1.85%,1.18%,3,136.39,0.57,4.72,3.06%,77897,8/13/2020 8:30:00 AM,,10/29/2002,4.75,0.64%
5872,RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,USA,1181.8,33.82,25,1.4,2,7.91,7.84,14.55,,0.00%,0.51,-120.00%,36.63%,,24.11%,,148.40%,-11.80%,69.42,15.72,0.10%,-99.61%,76.60%,-1.30%,41.68%,4.5,14.80%,27.00%,28.00%,2,1.5,0,0.16,51.40%,7.80%,6.20%,3.85%,-19.62%,11.51%,99.88%,-24.61%,-6.05%,,0.96,4.44%,5.61%,-5.72%,-7.13%,9.07%,-29.33%,11.51%,-29.88%,140.59%,46.25,4.48%,0.49%,2.1,1456.18,0.87,17.25,4.99%,1258099,8/12/2020 16:30,24.92,6/7/2019,17.23,-0.12%
4448,MNRL,"Brigham Minerals, Inc.",Energy,Oil & Gas E&P,USA,490.68,64.75,27.86,,4.74,0.99,29.74,9.56,6.22%,,0.14,275.30%,303.75%,,,,-82.50%,-48.60%,56.91,30.38,0.40%,-99.58%,,2.02%,2.00%,1.41,0.90%,1.90%,8.70%,4.5,4.5,0,0,,25.80%,6.50%,7.02%,-23.21%,-28.23%,-0.11%,-53.17%,-58.02%,,0.53,4.86%,5.90%,-2.78%,-16.63%,-31.42%,-30.88%,11.80%,-58.81%,53.58%,42.54,2.51%,-1.57%,1.9,431.61,0.75,9,0.90%,323591,8/12/2020 16:30,14.58,4/18/2019,9,-0.01%
5389,PPD,"PPD, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,12269.1,383.4,26.29,29.72,2.95,,17.7,41.06,,0.00%,0.09,-43.50%,19.32%,,12.90%,,-140.80%,1.40%,348.58,121.26,0.10%,-99.44%,53.90%,-1.46%,1.95%,1.74,0.50%,-1.50%,14.10%,1.1,1.1,,,40.20%,8.10%,0.70%,9.38%,4.92%,34.08%,114.91%,,20.13%,,1.5,4.22%,4.83%,6.48%,10.75%,30.53%,-3.40%,28.71%,-3.40%,239.68%,61.3,-3.38%,0.84%,1.7,1355.37,1.64,36.04,-2.57%,2178405,8/4/2020 16:30,37.86,2/6/2020,35.85,-0.53%
3342,IBIO,"iBio, Inc.",Healthcare,Biotechnology,USA,331.75,,,,255.19,41,33.18,,,,-1.18,38.70%,54.80%,-10.10%,,58.00%,73.40%,-80.00%,174.42,117.05,0.10%,-99.44%,9.70%,82.18%,17.09%,0.63,-108.70%,,-57.60%,1.7,1.7,8.03,8.4,,,,6.22%,4.06%,4.59%,99.03%,297.29%,723.29%,-5.58,0.24,7.19%,10.47%,-1.58%,-28.30%,28.83%,-68.89%,26.54%,-72.48%,4000.00%,38.49,0.99%,0.00%,2,31725.49,0.24,2.05,0.99%,7625347,,3.1,8/19/2008,2.02,-1.46%
3603,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,USA,14834.82,,22,,4.54,1.73,12.64,30.58,,,-0.24,-6.60%,29.36%,25.20%,0.20%,-0.90%,-298.10%,101.00%,417,370.78,0.10%,-99.20%,97.90%,0.89%,3.85%,5.77,-1.50%,-2.80%,7.00%,2.3,1.6,0.45,0.45,32.20%,0.00%,-4.50%,0.57%,-1.77%,24.98%,54.38%,31.16%,-3.03%,1.38,1.05,2.67%,2.92%,-0.28%,2.76%,13.03%,-5.47%,14.70%,-8.70%,109.11%,52.72,-0.89%,0.81%,2.4,2478.35,0.56,35.57,-0.08%,1420802,8/3/2020 16:30,35.86,5/12/2017,35.22,-0.98%
5022,OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,USA,2260.92,,64.95,,0.81,2.62,19.14,62.46,,,-0.51,75.30%,225.00%,43.90%,10.00%,20.20%,54.50%,49.00%,176.71,53.88,0.20%,-98.92%,92.50%,0.27%,3.65%,2.03,-3.30%,-9.70%,0.10%,1.6,1.2,1.47,1.48,22.90%,1.20%,-3.10%,7.80%,15.23%,-1.61%,35.37%,5.41%,-13.81%,1.06,0.64,6.07%,5.49%,10.51%,8.95%,-3.85%,-4.67%,22.24%,-29.38%,124.04%,60.31,-4.17%,0.37%,1.3,967.72,0.93,12.86,-3.81%,894572,8/4/2020 8:30,19.8,8/15/1996,12.86,0.00%
7236,VXRT,"Vaxart, Inc.",Healthcare,Biotechnology,USA,697.52,,,,89.43,12.7,15.71,,,,-0.6,70.20%,14.30%,32.00%,,-16.70%,68.90%,400.00%,109.2,108.18,0.50%,-98.90%,21.80%,-32.83%,16.11%,0.64,-44.70%,-84.90%,-126.00%,4,4,0,0,,,,-0.44%,30.92%,-6.92%,308.33%,1792.41%,1857.20%,-0.14,0.96,7.20%,17.36%,3.12%,-16.28%,64.63%,-53.49%,52.11%,-60.78%,2478.95%,48.02,4.89%,-1.65%,2,27187.66,0.25,6.86,3.16%,9464498,,,3/17/1980,6.85,-0.15%
3257,HTZ,"Hertz Global Holdings, Inc.",Industrials,Rental & Leasing Services,USA,171.82,,,,0.02,0.28,0.13,0.07,,,-7.97,76.40%,83.90%,24.70%,,0.60%,,-66.90%,156.21,155.64,0.40%,-98.89%,24.60%,,19.26%,2.77,-4.70%,-82.70%,4.00%,,,23.22,23.22,39.70%,-7.40%,-14.60%,-9.09%,-23.08%,-26.67%,-78.09%,-91.28%,-93.02%,1.82,0.09,7.28%,7.21%,-16.48%,-23.45%,-83.15%,-43.01%,5.77%,-94.72%,175.00%,24.94,0.00%,-0.90%,3.2,10812.02,0.51,1.1,-0.90%,5683062,,,6/20/2016,1.08,-1.82%
6499,SYNH,"Syneos Health, Inc.",Healthcare,Diagnostics & Research,USA,5833.94,31.55,14.42,3.35,1.28,1.95,17.01,18,,0.00%,1.78,467.60%,20.29%,34.80%,9.41%,31.70%,-65.50%,-13.10%,104.2,61.49,0.40%,-98.88%,,-0.74%,9.47%,8.59,2.50%,6.30%,4.90%,1.1,1.1,0.89,0.93,21.80%,5.50%,4.10%,9.49%,-9.16%,-2.39%,60.44%,9.89%,-5.58%,1.75,2.26,3.38%,3.80%,-0.57%,-6.08%,-2.00%,-15.31%,11.72%,-24.37%,87.06%,47.32,1.96%,3.60%,2.1,678.06,2.13,56.15,5.63%,1413380,8/6/2020 8:30,73.38,11/7/2014,54.93,-2.18%
