Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Beta,50-Day Simple Moving Average,200-Day Simple Moving Average,Average Volume,Relative Volume,Price,50 sma price,200 sma price,goldencross,EPS,Forward EPS,Earnings Growth,Sales Per Share,Qtr Book Value Per Share,Qtr Cash Per Share,dividend
SQBG,"Sequential Brands Group, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,9.63,17.39,6.04,5.753854166666666,0.1,0.31,0.6,1.69,0.028797530864197538,0.0,-70.1,-0.934,0.40299999999999997,0.1264,0.15,0.19399999999999998,0.125,-0.14400000000000002,1.64,1.14,0.004,-0.9984000000000001,0.19,-0.4788,0.1035,0.86,-0.17600000000000002,-1.649,0.027999999999999997,1.5,1.5,17.83,18.49,0.3662687499999998,-0.935,-0.04656578947368423,0.72,-0.18719999999999998,-0.4657,0.13638999999999998,0.57,4.72,5.807086614173229,8.833988396032192,sell,0.27142035652673946,0.7814569536423841,0.8203197132356935,47.199999999999996,15.225806451612902,2.7928994082840237,0.13592434567901238
RVLV,"Revolve Group, Inc.",Consumer Cyclical,Internet Retail,USA,1181.8,33.82,25.0,1.4,2.0,7.91,7.84,14.55,0.028797530864197538,0.0,0.51,-1.2,0.3663,-0.015317687074829948,0.24109999999999998,0.027999999999999997,1.484,-0.11800000000000001,69.42,15.72,0.001,-0.9961,0.7659999999999999,-0.013000000000000001,0.4168,4.5,0.14800000000000002,0.27,0.28,2.0,1.5,0.0,0.16,0.514,0.078,0.062,1.616539792387542,-0.0713,0.0907,1.45618,0.87,17.25,18.574351243673952,15.815531310167781,buy,0.510053222945003,0.69,12.321428571428573,8.625,2.1807838179519594,1.1855670103092784,0.49675740740740754
MNRL,"Brigham Minerals, Inc.",Energy,Oil & Gas E&P,USA,490.68,64.75,27.86,5.15735294117647,4.74,0.99,29.74,9.56,0.0622,0.0,0.14,2.753,3.0375,-0.051253917050691246,0.09307605633802817,-0.042,-0.825,-0.486,56.91,30.38,0.004,-0.9958,0.5071556962025316,0.0202,0.02,1.41,0.009000000000000001,0.019,0.087,4.5,4.5,0.0,0.0,0.4515114155251138,0.258,0.065,2.10474885844749,-0.1663,-0.31420000000000003,0.43161,0.75,9.0,10.795250089960417,13.123359580052494,sell,0.138996138996139,0.3230437903804738,1.7450812660393502,1.8987341772151898,9.090909090909092,0.9414225941422594,0.5598
IBIO,"iBio, Inc.",Healthcare,Biotechnology,USA,331.75,3.28,18.29,37.12883333333331,255.19,41.0,33.18,17.03,0.018787500000000002,0.0,-1.18,0.387,0.5479999999999999,-0.10099999999999999,0.17093309859154923,0.58,0.7340000000000001,-0.8,174.42,117.05,0.001,-0.9944,0.09699999999999999,0.8218000000000001,0.1709,0.63,-1.087,-0.6394220689655171,-0.5760000000000001,1.7,1.7,8.03,8.4,0.5297944862155385,-0.15852000000000005,-0.1719638989169675,-5.58,-0.28300000000000003,0.2883,31.72549,0.24,2.05,2.8591352859135286,1.591244275401692,buy,0.625,0.11208310552214325,0.055213154197321965,0.008033230142246953,0.049999999999999996,0.12037580739870814,0.038514375
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,USA,2260.92,3.28,64.95,37.12883333333331,0.81,2.62,19.14,62.46,0.018787500000000002,0.0,-0.51,0.753,2.25,0.439,0.1,0.20199999999999999,0.545,0.49,176.71,53.88,0.002,-0.9892,0.925,0.0027,0.0365,2.03,-0.033,-0.09699999999999999,0.001,1.6,1.2,1.47,1.48,0.22899999999999998,0.012,-0.031,1.06,0.0895,-0.0385,0.96772,0.93,12.86,11.803579623680587,13.374934997399896,sell,3.9207317073170733,0.19799846035411853,0.34636154291588317,15.87654320987654,4.908396946564885,0.20589177073326928,0.24160725000000002
VXRT,"Vaxart, Inc.",Healthcare,Biotechnology,USA,697.52,3.28,18.29,37.12883333333331,89.43,12.7,15.71,17.03,0.018787500000000002,0.0,-0.6,0.7020000000000001,0.14300000000000002,0.32,0.17093309859154923,-0.16699999999999998,0.6890000000000001,4.0,109.2,108.18,0.005,-0.9890000000000001,0.218,-0.3283,0.1611,0.64,-0.447,-0.8490000000000001,-1.26,4.0,4.0,0.0,0.0,0.5297944862155385,-0.15852000000000005,-0.1719638989169675,-0.14,-0.1628,0.6463,27.18766,0.25,6.86,8.193979933110368,4.166919759460608,buy,2.0914634146341466,0.3750683433570257,0.18476206721640426,0.0767080398076708,0.5401574803149607,0.4028185554903112,0.12888225000000003
HTZ,"Hertz Global Holdings, Inc.",Industrials,Rental & Leasing Services,USA,171.82,9.34,18.92,11.34448087431694,0.02,0.28,0.13,0.07,0.02811775147928993,0.0,-7.97,0.764,0.8390000000000001,0.247,0.11337802547770695,0.006,0.655,-0.669,156.21,155.64,0.004,-0.9889,0.24600000000000002,0.06557299107142861,0.19260000000000002,2.77,-0.047,-0.8270000000000001,0.04,2.59589977220957,2.0646226415094326,23.22,23.22,0.397,-0.07400000000000001,-0.146,1.82,-0.2345,-0.8315,10.81202,0.51,1.1,1.4369693011103855,6.52818991097923,sell,0.11777301927194862,0.05813953488372093,0.09696344964451553,55.0,3.9285714285714284,15.714285714285714,0.030929526627218925
FOCS,Focus Financial Partners Inc.,Financial,Capital Markets,USA,2217.18,139.53,10.11,8.57,1.7,3.12,62.81,13.36,0.059538709677419345,0.0,0.24,0.22699999999999998,0.1158,-0.28,0.1628,0.302,0.925,0.038,47.85,29.25,0.0002,-0.9887999999999999,0.9490000000000001,-0.0078000000000000005,0.0789,5.77,0.004,0.024,0.027999999999999997,2.983999999999999,3.409900990099009,2.56,2.56,0.6410530973451327,0.077,0.009000000000000001,1.0194616977225668,-0.0663,0.1335,0.40034,0.45,32.93,35.26828745849845,29.051610057344508,buy,0.23600659356410808,3.2571711177052425,3.8424737456242704,19.370588235294118,10.554487179487179,2.464820359281437,1.960609709677419
NOVA,Sunnova Energy International Inc.,Technology,Solar,USA,2550.32,18.71,9.04,19.854496124031005,17.86,3.83,24.93,15.79,0.028549122807017543,0.0,-1.97,-1.646,0.871,0.012297142857142866,0.16043588850174229,0.16899999999999998,0.588,0.237,84.03,42.7,0.003,-0.9845999999999999,0.907,0.029500000000000002,0.0518,1.52,-0.059000000000000004,-0.24,-0.016,1.5,0.9,2.46,2.63,0.603,-0.242,-0.06927837837837834,1.2224999999999997,0.2069,0.7789,1.45823,2.32,30.11,24.948214433673044,16.92619034234639,buy,1.6092998396579368,3.3307522123893807,1.5165330720005623,1.6858902575587906,7.861618798955614,1.9069031032298924,0.8596140877192981
USNA,"USANA Health Sciences, Inc.",Consumer Defensive,Household & Personal Products,USA,1560.71,14.8,13.36,1.48,1.48,4.51,1.56,10.46,0.03226444444444445,0.0,5.06,-0.14,0.08199999999999999,0.095,0.1,0.061,0.447,0.012,21.03,12.52,0.001,-0.9842,0.578,0.0437,0.0795,7.96,0.223,0.32899999999999996,0.27399999999999997,2.3,1.8,0.0,0.0,0.821,0.15,0.10400000000000001,1.01,-0.0535,-0.018000000000000002,0.12513,0.82,74.89,79.1230850501849,76.26272912423626,buy,5.060135135135135,5.605538922155689,50.601351351351354,50.601351351351354,16.605321507760532,7.159655831739961,2.416284244444445
